<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER [TQBR],1,20161205,141800,160.900000,160.900000,160.900000,160.900000,359.000000
SBER [TQBR],1,20161205,141900,160.900000,160.930000,160.890000,160.900000,3416.000000
SBER [TQBR],1,20161205,142000,160.930000,160.970000,160.930000,160.960000,9118.000000
SBER [TQBR],1,20161205,142100,160.960000,161.010000,160.950000,160.960000,36192.000000
SBER [TQBR],1,20161205,142200,160.970000,160.970000,160.880000,160.920000,8753.000000
SBER [TQBR],1,20161205,142300,160.900000,160.990000,160.900000,160.920000,5296.000000
SBER [TQBR],1,20161205,142400,160.960000,160.980000,160.910000,160.910000,3581.000000
SBER [TQBR],1,20161205,142500,160.910000,160.980000,160.910000,160.980000,1155.000000
SBER [TQBR],1,20161205,142600,160.940000,161.000000,160.940000,161.000000,11406.000000
SBER [TQBR],1,20161205,142700,161.000000,161.000000,160.960000,160.990000,8627.000000
SBER [TQBR],1,20161205,142800,160.990000,161.050000,160.980000,161.000000,15629.000000
SBER [TQBR],1,20161205,142900,161.000000,161.000000,160.960000,160.990000,3991.000000
SBER [TQBR],1,20161205,143000,160.960000,161.000000,160.960000,160.990000,3170.000000
SBER [TQBR],1,20161205,143100,160.960000,161.000000,160.850000,160.930000,5270.000000
SBER [TQBR],1,20161205,143200,160.870000,160.910000,160.760000,160.780000,14831.000000
SBER [TQBR],1,20161205,143300,160.770000,160.770000,160.680000,160.750000,5426.000000
SBER [TQBR],1,20161205,143400,160.750000,160.750000,160.670000,160.670000,1299.000000
SBER [TQBR],1,20161205,143500,160.680000,160.860000,160.670000,160.800000,9738.000000
SBER [TQBR],1,20161205,143600,160.730000,160.860000,160.730000,160.860000,906.000000
SBER [TQBR],1,20161205,143700,160.860000,160.890000,160.820000,160.880000,937.000000
SBER [TQBR],1,20161205,143800,160.880000,160.970000,160.830000,160.890000,1695.000000
SBER [TQBR],1,20161205,143900,160.890000,160.920000,160.770000,160.880000,2235.000000
SBER [TQBR],1,20161205,144000,160.880000,160.920000,160.810000,160.920000,14174.000000
SBER [TQBR],1,20161205,144100,160.910000,160.920000,160.880000,160.900000,264.000000
SBER [TQBR],1,20161205,144200,160.900000,160.950000,160.860000,160.930000,3952.000000
SBER [TQBR],1,20161205,144300,160.920000,160.980000,160.820000,160.980000,10229.000000
SBER [TQBR],1,20161205,144400,160.990000,160.990000,160.900000,160.990000,9601.000000
SBER [TQBR],1,20161205,144500,160.980000,160.990000,160.940000,160.990000,706.000000
SBER [TQBR],1,20161205,144600,160.980000,161.490000,160.950000,161.440000,182424.000000
SBER [TQBR],1,20161205,144700,161.490000,161.500000,161.320000,161.400000,31371.000000
SBER [TQBR],1,20161205,144800,161.410000,161.750000,161.400000,161.720000,42840.000000
SBER [TQBR],1,20161205,144900,161.700000,161.740000,161.670000,161.710000,6224.000000
SBER [TQBR],1,20161205,145000,161.720000,161.770000,161.520000,161.560000,16618.000000
SBER [TQBR],1,20161205,145100,161.530000,161.650000,161.430000,161.640000,13819.000000
SBER [TQBR],1,20161205,145200,161.600000,161.760000,161.600000,161.700000,13587.000000
SBER [TQBR],1,20161205,145300,161.710000,161.720000,161.500000,161.500000,20870.000000
SBER [TQBR],1,20161205,145400,161.530000,161.660000,161.530000,161.610000,2217.000000
SBER [TQBR],1,20161205,145500,161.620000,161.660000,161.580000,161.640000,2468.000000
SBER [TQBR],1,20161205,145600,161.590000,161.850000,161.530000,161.850000,35138.000000
SBER [TQBR],1,20161205,145700,161.850000,162.470000,161.850000,162.400000,119762.000000
SBER [TQBR],1,20161205,145800,162.370000,162.590000,162.360000,162.390000,49409.000000
SBER [TQBR],1,20161205,145900,162.390000,162.440000,162.320000,162.350000,12162.000000
SBER [TQBR],1,20161205,150000,162.380000,162.840000,162.380000,162.820000,180065.000000
SBER [TQBR],1,20161205,150100,162.800000,162.840000,162.210000,162.220000,57840.000000
SBER [TQBR],1,20161205,150200,162.290000,162.300000,162.060000,162.300000,23331.000000
SBER [TQBR],1,20161205,150300,162.300000,162.440000,162.280000,162.410000,6405.000000
SBER [TQBR],1,20161205,150400,162.410000,162.700000,162.390000,162.620000,8210.000000
SBER [TQBR],1,20161205,150500,162.600000,162.630000,162.320000,162.400000,14702.000000
SBER [TQBR],1,20161205,150600,162.350000,162.450000,162.310000,162.310000,2844.000000
SBER [TQBR],1,20161205,150700,162.310000,162.450000,162.140000,162.400000,19424.000000
SBER [TQBR],1,20161205,150800,162.370000,162.430000,162.330000,162.360000,2334.000000
SBER [TQBR],1,20161205,150900,162.380000,162.410000,162.350000,162.380000,3141.000000
SBER [TQBR],1,20161205,151000,162.380000,162.580000,162.370000,162.510000,5759.000000
SBER [TQBR],1,20161205,151100,162.480000,162.510000,162.400000,162.400000,13173.000000
SBER [TQBR],1,20161205,151200,162.400000,162.460000,162.400000,162.420000,3700.000000
SBER [TQBR],1,20161205,151300,162.420000,162.600000,162.420000,162.550000,8055.000000
SBER [TQBR],1,20161205,151400,162.550000,162.630000,162.410000,162.410000,6755.000000
SBER [TQBR],1,20161205,151500,162.440000,162.490000,162.400000,162.430000,4631.000000
SBER [TQBR],1,20161205,151600,162.430000,162.460000,162.340000,162.420000,15496.000000
SBER [TQBR],1,20161205,151700,162.380000,162.400000,162.200000,162.400000,20089.000000
SBER [TQBR],1,20161205,151800,162.370000,162.590000,162.320000,162.570000,6074.000000
SBER [TQBR],1,20161205,151900,162.600000,162.600000,162.450000,162.450000,7397.000000
SBER [TQBR],1,20161205,152000,162.530000,162.590000,162.440000,162.500000,2085.000000
SBER [TQBR],1,20161205,152100,162.450000,162.460000,162.400000,162.400000,807.000000
SBER [TQBR],1,20161205,152200,162.400000,162.450000,162.400000,162.450000,2719.000000
SBER [TQBR],1,20161205,152300,162.420000,162.450000,162.370000,162.370000,1472.000000
SBER [TQBR],1,20161205,152400,162.400000,162.400000,162.350000,162.370000,1486.000000
SBER [TQBR],1,20161205,152500,162.360000,162.390000,162.300000,162.360000,1891.000000
SBER [TQBR],1,20161205,152600,162.320000,162.360000,162.300000,162.330000,502.000000
SBER [TQBR],1,20161205,152700,162.330000,162.330000,162.190000,162.200000,5276.000000
SBER [TQBR],1,20161205,152800,162.220000,162.240000,162.190000,162.200000,1489.000000
SBER [TQBR],1,20161205,152900,162.200000,162.230000,162.100000,162.110000,7237.000000
SBER [TQBR],1,20161205,153000,162.110000,162.230000,162.080000,162.160000,2937.000000
SBER [TQBR],1,20161205,153100,162.160000,162.240000,162.120000,162.240000,6530.000000
SBER [TQBR],1,20161205,153200,162.250000,162.260000,162.190000,162.200000,1015.000000
SBER [TQBR],1,20161205,153300,162.230000,162.260000,162.230000,162.240000,965.000000
SBER [TQBR],1,20161205,153400,162.260000,162.260000,162.160000,162.180000,2636.000000
SBER [TQBR],1,20161205,153500,162.220000,162.220000,162.150000,162.170000,2795.000000
SBER [TQBR],1,20161205,153600,162.170000,162.200000,162.140000,162.180000,2293.000000
SBER [TQBR],1,20161205,153700,162.190000,162.200000,162.150000,162.150000,3093.000000
SBER [TQBR],1,20161205,153800,162.190000,162.210000,162.140000,162.140000,2457.000000
SBER [TQBR],1,20161205,153900,162.140000,162.250000,162.140000,162.210000,3112.000000
SBER [TQBR],1,20161205,154000,162.200000,162.220000,162.160000,162.160000,3669.000000
SBER [TQBR],1,20161205,154100,162.220000,162.350000,162.220000,162.350000,5603.000000
SBER [TQBR],1,20161205,154200,162.350000,162.400000,162.250000,162.300000,4811.000000
SBER [TQBR],1,20161205,154300,162.320000,162.370000,162.260000,162.260000,3005.000000
SBER [TQBR],1,20161205,154400,162.260000,162.360000,162.240000,162.310000,1763.000000
SBER [TQBR],1,20161205,154500,162.290000,162.300000,162.250000,162.290000,398.000000
SBER [TQBR],1,20161205,154600,162.290000,162.290000,162.250000,162.260000,1574.000000
SBER [TQBR],1,20161205,154700,162.270000,162.320000,162.260000,162.270000,2221.000000
SBER [TQBR],1,20161205,154800,162.270000,162.320000,162.270000,162.320000,1128.000000
SBER [TQBR],1,20161205,154900,162.300000,162.390000,162.250000,162.270000,4194.000000
SBER [TQBR],1,20161205,155000,162.290000,162.340000,162.260000,162.270000,7162.000000
SBER [TQBR],1,20161205,155100,162.250000,162.300000,162.230000,162.300000,6769.000000
SBER [TQBR],1,20161205,155200,162.300000,162.300000,162.270000,162.290000,6345.000000
SBER [TQBR],1,20161205,155300,162.280000,162.300000,162.270000,162.290000,6712.000000
SBER [TQBR],1,20161205,155400,162.290000,162.300000,162.270000,162.290000,9197.000000
SBER [TQBR],1,20161205,155500,162.280000,162.300000,162.270000,162.280000,6735.000000
SBER [TQBR],1,20161205,155600,162.270000,162.360000,162.200000,162.240000,7885.000000
SBER [TQBR],1,20161205,155700,162.240000,162.310000,162.240000,162.310000,1767.000000
SBER [TQBR],1,20161205,155800,162.280000,162.310000,162.280000,162.300000,592.000000
SBER [TQBR],1,20161205,155900,162.280000,162.390000,162.280000,162.350000,2029.000000
SBER [TQBR],1,20161205,160000,162.350000,162.460000,162.330000,162.410000,7406.000000
SBER [TQBR],1,20161205,160100,162.410000,162.500000,162.390000,162.450000,7614.000000
SBER [TQBR],1,20161205,160200,162.390000,162.480000,162.370000,162.480000,3077.000000
SBER [TQBR],1,20161205,160300,162.440000,162.480000,162.440000,162.480000,3902.000000
SBER [TQBR],1,20161205,160400,162.470000,162.650000,162.470000,162.620000,14378.000000
SBER [TQBR],1,20161205,160500,162.600000,162.600000,162.440000,162.460000,5965.000000
SBER [TQBR],1,20161205,160600,162.450000,162.450000,162.350000,162.400000,5504.000000
SBER [TQBR],1,20161205,160700,162.400000,162.480000,162.400000,162.400000,1097.000000
SBER [TQBR],1,20161205,160800,162.400000,162.540000,162.400000,162.480000,14031.000000
SBER [TQBR],1,20161205,160900,162.460000,162.500000,162.460000,162.460000,2194.000000
SBER [TQBR],1,20161205,161000,162.450000,162.470000,162.400000,162.440000,1254.000000
SBER [TQBR],1,20161205,161100,162.410000,162.440000,162.400000,162.400000,1777.000000
SBER [TQBR],1,20161205,161200,162.400000,162.440000,162.400000,162.420000,1801.000000
SBER [TQBR],1,20161205,161300,162.410000,162.430000,162.240000,162.250000,8205.000000
SBER [TQBR],1,20161205,161400,162.250000,162.270000,162.250000,162.250000,4161.000000
SBER [TQBR],1,20161205,161500,162.250000,162.270000,162.200000,162.200000,15720.000000
SBER [TQBR],1,20161205,161600,162.200000,162.330000,162.200000,162.310000,3967.000000
SBER [TQBR],1,20161205,161700,162.330000,162.370000,162.310000,162.360000,2124.000000
SBER [TQBR],1,20161205,161800,162.340000,162.380000,162.300000,162.320000,791.000000
SBER [TQBR],1,20161205,161900,162.330000,162.440000,162.310000,162.320000,12862.000000
SBER [TQBR],1,20161205,162000,162.320000,162.440000,162.320000,162.360000,6212.000000
SBER [TQBR],1,20161205,162100,162.360000,162.410000,162.340000,162.340000,5961.000000
SBER [TQBR],1,20161205,162200,162.380000,162.410000,162.310000,162.410000,5793.000000
SBER [TQBR],1,20161205,162300,162.350000,162.480000,162.320000,162.380000,15321.000000
SBER [TQBR],1,20161205,162400,162.380000,162.380000,162.300000,162.350000,9455.000000
SBER [TQBR],1,20161205,162500,162.310000,162.370000,162.300000,162.300000,1699.000000
SBER [TQBR],1,20161205,162600,162.300000,162.350000,162.300000,162.310000,656.000000
SBER [TQBR],1,20161205,162700,162.300000,162.350000,162.300000,162.320000,2443.000000
SBER [TQBR],1,20161205,162800,162.340000,162.350000,162.310000,162.350000,757.000000
SBER [TQBR],1,20161205,162900,162.330000,162.360000,162.300000,162.310000,9863.000000
SBER [TQBR],1,20161205,163000,162.300000,162.400000,162.300000,162.400000,10441.000000
SBER [TQBR],1,20161205,163100,162.410000,162.480000,162.400000,162.420000,2404.000000
SBER [TQBR],1,20161205,163200,162.420000,162.420000,162.360000,162.420000,5739.000000
SBER [TQBR],1,20161205,163300,162.410000,162.450000,162.400000,162.420000,13681.000000
SBER [TQBR],1,20161205,163400,162.410000,162.440000,162.400000,162.400000,6505.000000
SBER [TQBR],1,20161205,163500,162.400000,162.430000,162.400000,162.420000,4698.000000
SBER [TQBR],1,20161205,163600,162.400000,162.410000,162.400000,162.410000,1397.000000
SBER [TQBR],1,20161205,163700,162.420000,162.440000,162.400000,162.410000,8621.000000
SBER [TQBR],1,20161205,163800,162.410000,162.450000,162.400000,162.400000,1896.000000
SBER [TQBR],1,20161205,163900,162.410000,162.420000,162.400000,162.400000,8105.000000
SBER [TQBR],1,20161205,164000,162.400000,162.450000,162.400000,162.450000,40191.000000
SBER [TQBR],1,20161205,164100,162.440000,162.480000,162.440000,162.450000,10547.000000
SBER [TQBR],1,20161205,164200,162.450000,162.530000,162.450000,162.480000,10976.000000
SBER [TQBR],1,20161205,164300,162.480000,162.960000,162.480000,162.750000,118315.000000
SBER [TQBR],1,20161205,164400,162.750000,162.840000,162.750000,162.840000,18931.000000
SBER [TQBR],1,20161205,164500,162.840000,162.860000,162.820000,162.850000,13089.000000
SBER [TQBR],1,20161205,164600,162.820000,162.850000,162.700000,162.700000,8673.000000
SBER [TQBR],1,20161205,164700,162.700000,162.840000,162.700000,162.770000,15041.000000
SBER [TQBR],1,20161205,164800,162.710000,162.790000,162.700000,162.710000,3141.000000
SBER [TQBR],1,20161205,164900,162.710000,162.730000,162.660000,162.660000,5074.000000
SBER [TQBR],1,20161205,165000,162.680000,162.700000,162.660000,162.700000,610.000000
SBER [TQBR],1,20161205,165100,162.700000,162.770000,162.680000,162.740000,4354.000000
SBER [TQBR],1,20161205,165200,162.740000,162.760000,162.730000,162.730000,11723.000000
SBER [TQBR],1,20161205,165300,162.730000,162.800000,162.730000,162.770000,3448.000000
SBER [TQBR],1,20161205,165400,162.760000,162.800000,162.750000,162.800000,8999.000000
SBER [TQBR],1,20161205,165500,162.760000,162.800000,162.750000,162.750000,5217.000000
SBER [TQBR],1,20161205,165600,162.750000,162.780000,162.750000,162.750000,1971.000000
SBER [TQBR],1,20161205,165700,162.750000,162.770000,162.740000,162.740000,4844.000000
SBER [TQBR],1,20161205,165800,162.740000,162.780000,162.670000,162.680000,2349.000000
SBER [TQBR],1,20161205,165900,162.700000,162.740000,162.690000,162.710000,2128.000000
SBER [TQBR],1,20161205,170000,162.740000,162.750000,162.640000,162.690000,2919.000000
SBER [TQBR],1,20161205,170100,162.690000,162.690000,162.600000,162.600000,16380.000000
SBER [TQBR],1,20161205,170200,162.600000,162.650000,162.590000,162.630000,2881.000000
SBER [TQBR],1,20161205,170300,162.620000,162.640000,162.600000,162.610000,1627.000000
SBER [TQBR],1,20161205,170400,162.630000,162.630000,162.600000,162.620000,976.000000
SBER [TQBR],1,20161205,170500,162.620000,162.630000,162.600000,162.620000,1545.000000
SBER [TQBR],1,20161205,170600,162.590000,162.590000,162.540000,162.580000,3162.000000
SBER [TQBR],1,20161205,170700,162.590000,162.790000,162.580000,162.740000,11639.000000
SBER [TQBR],1,20161205,170800,162.710000,162.850000,162.710000,162.850000,20076.000000
SBER [TQBR],1,20161205,170900,162.840000,162.870000,162.790000,162.870000,26465.000000
SBER [TQBR],1,20161205,171000,162.860000,162.970000,162.850000,162.910000,20955.000000
SBER [TQBR],1,20161205,171100,162.930000,163.230000,162.560000,162.740000,224955.000000
SBER [TQBR],1,20161205,171200,162.720000,162.930000,162.710000,162.850000,4588.000000
SBER [TQBR],1,20161205,171300,162.850000,162.850000,162.310000,162.580000,31589.000000
SBER [TQBR],1,20161205,171400,162.600000,162.640000,162.330000,162.470000,6863.000000
SBER [TQBR],1,20161205,171500,162.500000,162.500000,162.200000,162.260000,22579.000000
SBER [TQBR],1,20161205,171600,162.260000,162.570000,162.260000,162.370000,11999.000000
SBER [TQBR],1,20161205,171700,162.380000,162.400000,162.250000,162.380000,4556.000000
SBER [TQBR],1,20161205,171800,162.400000,162.400000,162.330000,162.390000,977.000000
SBER [TQBR],1,20161205,171900,162.360000,162.390000,162.220000,162.270000,3633.000000
SBER [TQBR],1,20161205,172000,162.270000,162.390000,162.260000,162.360000,3808.000000
SBER [TQBR],1,20161205,172100,162.350000,162.350000,162.220000,162.290000,5673.000000
SBER [TQBR],1,20161205,172200,162.250000,162.330000,162.250000,162.290000,2722.000000
SBER [TQBR],1,20161205,172300,162.320000,162.390000,162.300000,162.390000,701.000000
SBER [TQBR],1,20161205,172400,162.390000,162.390000,162.360000,162.390000,863.000000
SBER [TQBR],1,20161205,172500,162.390000,162.450000,162.390000,162.420000,2168.000000
SBER [TQBR],1,20161205,172600,162.430000,162.460000,162.410000,162.420000,5093.000000
SBER [TQBR],1,20161205,172700,162.440000,162.590000,162.420000,162.450000,6153.000000
SBER [TQBR],1,20161205,172800,162.450000,162.600000,162.360000,162.400000,5566.000000
SBER [TQBR],1,20161205,172900,162.440000,162.610000,162.390000,162.540000,9916.000000
SBER [TQBR],1,20161205,173000,162.540000,162.650000,162.490000,162.650000,4873.000000
SBER [TQBR],1,20161205,173100,162.630000,162.750000,162.610000,162.650000,9073.000000
SBER [TQBR],1,20161205,173200,162.650000,162.730000,162.650000,162.670000,13960.000000
SBER [TQBR],1,20161205,173300,162.670000,162.740000,162.650000,162.740000,9698.000000
SBER [TQBR],1,20161205,173400,162.740000,162.740000,162.650000,162.670000,4625.000000
SBER [TQBR],1,20161205,173500,162.690000,162.750000,162.660000,162.740000,1498.000000
SBER [TQBR],1,20161205,173600,162.750000,162.770000,162.680000,162.740000,5438.000000
SBER [TQBR],1,20161205,173700,162.740000,162.740000,162.650000,162.650000,14733.000000
SBER [TQBR],1,20161205,173800,162.670000,162.730000,162.650000,162.710000,2219.000000
SBER [TQBR],1,20161205,173900,162.710000,162.790000,162.710000,162.720000,3593.000000
SBER [TQBR],1,20161205,174000,162.730000,162.750000,162.650000,162.650000,4170.000000
SBER [TQBR],1,20161205,174100,162.650000,162.650000,162.530000,162.620000,7581.000000
SBER [TQBR],1,20161205,174200,162.610000,162.640000,162.560000,162.640000,2060.000000
SBER [TQBR],1,20161205,174300,162.650000,162.680000,162.610000,162.650000,734.000000
